date,XON,PG,PFE,WMT,INTC
19800630,0.035156,-0.05297,0.00304,0.123358,-0.032847
19800731,0.050943,0.104407,0.039394,0.143322,0.283019
19800829,0.025494,-0.024845,-0.040816,0.101994,0.030882
19800930,-0.003571,-0.089172,0.121216,0.036269,0.018545
19801031,0.091398,-0.040909,-0.032787,0.01,-0.056022
19801128,0.174056,0.040665,0.12678,0.113861,0.109792
19801231,-0.082504,-0.021314,0.080808,0.077333,-0.13369
19810130,-0.035659,-0.01343,-0.056075,-0.008264,-0.07716
19810227,-0.054662,0.065299,-0.00198,0.054167,-0.060201
19810331,-0.046875,-0.012259,0.085,0.156206,0.035587
19810430,-0.001821,0.031206,0.004608,0.058219,0.041237
19810529,-0.032847,-0.017422,-0.029358,0.003236,0.085809
19810630,0.057915,0.074468,-0.085714,-0.017677,-0.121581
19810731,0.021898,-0.028713,-0.020833,-0.026316,-0.062284
19810831,-0.05,-0.04475,-0.026064,-0.035405,-0.169742
19810930,-0.042308,0.063063,-0.044077,0.059649,-0.133333
19811030,-0.024096,0.075254,0.048991,0.05298,0.174359
19811130,0.102881,0.025559,0.148901,0.103774,-0.122271
19811231,-0.045802,0.001558,0.026506,-0.029858,-0.099502
19820129,-0.02,0.073717,0.050892,-0.002941,0.154696
19820226,-0.036735,-0.02346,0.002252,-0.020649,-0.019139
19820331,-0.021739,-0.006006,-0.076404,0.104578,0.126829
19820430,0.004444,0.047432,0.087591,0.136612,0.095238
19820528,0.017699,-0.020438,-0.034273,-0.060096,-0.035573
19820630,-0.008929,-0.010432,0.03271,0.083683,0.028689
19820730,-0.063063,0.038253,0.017376,0.030733,0.031873
19820831,0.125,0.117474,0.125561,0.153028,0.138996
19820930,-0.017544,0.030223,0.10757,0.131474,-0.108475
19821029,0.058036,0.093622,0.02518,0.105634,0.129278
19821130,-0.029536,0.120141,0.034526,0.207006,0.030303
19821231,0.0625,-0.005258,-0.059727,0.05372,0.013072
19830131,0.012605,-0.038478,0.002976,-0.057644,0.109677
19830228,-0.004149,0.015556,0.021898,0.047872,0.081395
19830331,0.055556,0.063457,0.082143,0.176548,0.037634
19830429,0.145749,-0.000412,0.085809,0.064795,0.025907
19830531,-0.024735,-0.10395,-0.058298,0.166329,0.156566
19830630,0,0.023202,0.139837,0.08967,0.30131
19830729,0.062963,-0.05034,-0.10893,0.047923,0.080537
19830831,0.081533,0.033816,-0.012903,-0.03878,0.018634
19830930,-0.039474,0.03972,0.039216,0.038095,0.006098
19831031,0.047945,0.008539,-0.028302,-0.039755,-0.084848
19831130,0.007843,0.067568,-0.034563,0.073248,0.10596
19831230,-0.009934,-0.040084,-0.033784,-0.073353,0.005988
19840131,0.063545,-0.101538,-0.001259,-0.089744,-0.125
19840229,-0.011321,-0.066832,0.056537,-0.09507,0.013605
19840330,0.003247,0.023873,-0.090301,0.036654,-0.033557
19840430,0.10356,-0.005699,-0.011029,0.067669,-0.027778
19840531,-0.044575,0.039578,-0.04223,0.045775,-0.117857
19840629,0.021944,0.063452,0.027451,0.112525,-0.020243
19840731,-0.058282,0.017184,-0.005191,-0.012121,0.008264
19840831,0.142671,0.064133,0.112403,0.08411,0.180328
19840928,0.040698,-0.002232,-0.020906,-0.028329,-0.138889
19841031,-0.022346,0.049664,0.081851,-0.017493,-0.104839
19841130,0.008,-0.00431,0.035,-0.053412,0.027027
19841231,0.040462,-0.012987,0.083333,-0.04884,-0.017544
19850131,0.066667,-0.001754,-0.056331,0.20132,0.098214
19850228,0.007292,0.011111,0.018987,0,-0.089431
19850329,0.057895,-0.024176,0.065217,-0.017692,-0.008929
19850430,0.024876,-0.049099,0.037901,0.05042,-0.009009
19850531,0.065049,0.033573,0.13191,0.117333,-0.040909
19850628,-0.002315,0.044084,-0.01,0.044296,-0.014218
19850731,-0.025522,0.029333,-0.017778,-0.093822,0.086538
19850830,0.020952,0.004367,-0.002591,0.046869,-0.079646
19850930,-0.016588,-0.019565,-0.015584,-0.077295,-0.009615
19851031,0.060241,0.135698,-0.034301,0.109948,-0.009709
19851129,-0.013182,0.059172,0.174754,0.117925,0.117647
19851231,0.032787,0.039106,-0.051522,0.077131,0.026316
19860131,-0.061224,-0.046237,-0.036346,0.007843,-0.034188
19860228,0.027053,0.047438,0.144703,0.058366,-0.017699
19860331,0.066986,0.067029,0.085779,0.159338,-0.063063
19860430,0.015695,0.00747,-0.014553,0.028571,0.096154
19860530,0.073289,0.059524,0.068101,0.182099,-0.04386
19860630,0.016701,0.028892,0.137177,0.084439,-0.155963
19860731,-0.002053,-0.025897,-0.060699,-0.103614,-0.206522
19860829,0.14856,0.033926,0.018727,0.011667,0.260274
19860930,-0.023593,-0.153125,-0.147059,-0.106383,-0.152174
19861031,0.011152,0.116974,0.030172,0.068452,0.038462
19861128,0.031618,0.036667,0.027782,0.061281,0.135802
19861231,0.012635,-0.017685,0,-0.02273,-0.086957
19870130,0.180036,0.161047,0.118033,0.043011,0.488095
19870227,-0.041994,-0.014205,0.075646,0.128866,0.216
19870331,0.094099,0.060519,-0.006861,0.051324,0.032895
19870430,0.010204,-0.071467,-0.025907,-0.015217,0.197452
19870529,0.014719,0.079646,-0.069858,0.033113,-0.066489
19870630,0.071839,0.071038,0.105566,0.157009,0.002849
19870731,0.009383,-0.042857,0.032292,0.101664,0.085227
19870831,0.069057,0.104698,-0.042301,0.088054,0.104712
19870930,-0.023839,-0.018226,-0.021201,-0.064815,0.094787
19871030,-0.123393,-0.119554,-0.240072,-0.270627,-0.324675
19871130,-0.1261,-0.077904,-0.114964,-0.131222,-0.173077
19871231,0.037415,0.049155,0.01084,0.084583,0.232558
19880129,0.101639,0.002343,0.171582,0.052885,-0.037736
19880229,0.026786,-0.007364,0.004577,0.073059,0.107843
19880331,-0.014663,-0.075668,0.013793,-0.041191,0.039823
19880429,0.068452,-0.000642,-0.002268,-0.013333,0.055319
19880531,0.015042,-0.009724,-0.043182,0.018018,-0.008065
19880630,0.008333,0.01473,-0.009592,0.085487,0.174797
19880729,0.044077,-0.021613,0.004843,0.073469,-0.038062
19880831,-0.00686,-0.006656,-0.012165,-0.086236,-0.194245
19880930,-0.037634,0.072027,0.071429,0.075,-0.017857
19881031,0,0.041563,0.050575,-0.027132,-0.1
19881130,-0.021229,-0.009077,0.002188,-0.035857,-0.181818
19881230,0.017341,0.062595,0.022026,0.038512,0.17284
19890131,0.053977,0.068103,0.003017,0.075697,0.094737
19890228,-0.042049,-0.037992,-0.043384,-0.055556,-0.009615
19890331,0,0.043724,0.043084,0.021333,0.019417
19890428,-0.017094,0.042432,0.076087,0.107692,0.104762
19890531,0.012754,0.07451,-0.005253,0.052083,0.12069
19890630,0.02029,0.054745,-0.059426,0.008053,-0.107692
19890731,0.039773,0.108881,0.142484,0.134426,0.051724
19890831,-0.030601,0.07644,0.065385,-0.02185,-0.016393
19890929,0.022857,-0.066148,-0.009025,-0.029586,0.075
19891031,0.027933,0.083542,-0.014572,0.012195,0.046512
19891130,0.040217,0.002904,0.104251,0.051205,0.02963
19891229,0.058201,0.084942,-0.062395,0.029914,-0.007194
19900131,-0.06,-0.082562,-0.014388,-0.050139,0.144928
19900228,0.012766,-0.001953,-0.129927,0.032258,0.018987
19900330,-0.018617,0.060665,0.027542,0.075455,0.037267
19900430,-0.01897,0.049077,-0.063918,0.050265,-0.053892
19900531,0.074033,0.169912,0.171366,0.13602,0.221519
19900629,-0.002604,0.054463,-0.026565,0.107672,-0.025907
19900731,0.083551,0.000861,0.181287,0.006012,-0.053191
19900831,-0.024578,-0.112392,-0.054785,-0.090518,-0.25
19900928,-0.02,-0.053571,-0.005282,-0.04386,-0.003745
19901031,0,0.085763,0.030088,-0.018349,0.007519
19901130,0.046837,0.054054,0.118213,0.126168,0.119403
19901231,0.022222,0.045249,0,0.005311,0.026667
19910131,-0.002415,-0.079365,0.113003,0.090909,0.188312
19910228,0.080775,0.025237,0.175633,0.07197,0.043716
19910328,0.061224,0.047692,0.019048,0.096608,-0.020942
19910430,0.017094,-0.008811,0.018692,0.045161,0.053476
19910531,-0.009748,0.014903,0.08633,0.058642,0.13198
19910628,-0.002146,-0.091043,-0.057325,-0.001924,-0.165919
19910731,0.021505,0.050081,0.114865,0.114035,0.010753
19910830,-0.007663,0.034056,0.063919,0.063885,0.053191
19910930,0.021459,0.016467,-0.005725,-0.05679,-0.146465
19911031,0.02521,-0.008837,0.099808,-0.031414,-0.038462
19911129,-0.027951,-0.03139,-0.068691,0.056757,0.009231
19911231,0.03838,0.158951,0.265537,0.205473,0.195122
19920131,-0.043121,0.110519,-0.130952,-0.084926,0.221939
19920228,-0.007811,-0.020482,0.025616,0.00232,0.060543
19920331,-0.041575,0.00615,-0.067114,-0.012917,-0.129921
