date,sp500
20070509,0.003426
20070510,-0.013742
20070511,0.009678
20070514,-0.001727
20070515,-0.001277
20070516,0.008796
20070517,-0.000852
20070518,0.006584
20070521,0.001498
20070522,-0.000637
20070523,-0.001249
20070524,-0.009527
20070525,0.005485
20070529,0.001739
20070530,0.008322
20070531,0.000319
20070601,0.003901
20070604,0.00214
20070605,-0.005426
20070606,-0.00857
20070607,-0.017533
20070608,0.011377
20070611,0.000883
20070612,-0.010667
20070613,0.015382
20070614,0.004732
20070615,0.006464
20070618,-0.001188
20070619,0.001677
20070620,-0.013529
20070621,0.006269
20070622,-0.012753
20070625,-0.003234
20070626,-0.003169
20070627,0.009234
20070628,-0.000429
20070629,-0.001595
20070702,0.010806
20070703,0.003776
20070705,0.000333
20070706,0.003705
20070709,0.000926
20070710,-0.01428
20070711,0.005829
20070712,0.019051
20070713,0.003154
20070716,-0.001889
20070717,-0.000098
20070718,-0.002108
20070719,0.004602
20070720,-0.012254
20070723,0.004817
20070724,-0.019565
20070725,0.004561
20070726,-0.023315
20070727,-0.015888
20070730,0.010092
20070731,-0.012557
20070801,0.007326
20070802,0.004757
20070803,-0.026444
20070806,0.024111
20070807,0.006064
20070808,0.014572
20070809,-0.029118
20070810,0.00001
20070813,-0.000311
20070814,-0.018291
20070815,-0.013532
20070816,0.003333
20070817,0.02441
20070820,-0.000262
20070821,0.001135
20070822,0.011771
20070823,-0.001222
20070824,0.011753
20070827,-0.008455
20070828,-0.023371
20070829,0.022193
20070830,-0.00418
20070831,0.011208
20070904,0.010443
20070905,-0.011057
20070906,0.004379
20070907,-0.016838
20070910,-0.001328
20070911,0.013675
20070912,0.000287
20070913,0.008455
20070914,0.000331
20070917,-0.005169
20070918,0.029183
20070919,0.006238
20070920,-0.006498
20070921,0.004666
20070924,-0.005194
20070925,-0.000402
20070926,0.005507
20070927,0.003962
20070928,-0.002974
20071001,0.013262
20071002,-0.00009
20071003,-0.00428
20071004,0.002152
20071005,0.00983
20071008,-0.003065
20071009,0.00808
20071010,-0.001538
20071011,-0.005054
20071012,0.004717
20071015,-0.008458
20071016,-0.00658
20071017,0.001907
20071018,-0.0007
20071019,-0.025577
20071022,0.003965
20071023,0.008696
20071024,-0.002509
20071025,-0.000747
20071026,0.013967
20071029,0.003904
20071030,-0.006264
20071031,0.012031
